2021-12-20 15:23:40:722 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 305) -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zookao.admin.RocketmqTest], using SpringBootContextLoader
2021-12-20 15:23:40:732 [main] INFO  o.s.test.context.support.AbstractContextLoader(AbstractContextLoader.java 264) -Could not detect default resource locations for test class [com.zookao.admin.RocketmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-20 15:23:40:734 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils(AnnotationConfigContextLoaderUtils.java 83) -Could not detect default configuration classes for test class [com.zookao.admin.RocketmqTest]: RocketmqTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-20 15:23:40:884 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(SpringBootTestContextBootstrapper.java 238) -Found @SpringBootConfiguration com.zookao.admin.AdminApplication for test class com.zookao.admin.RocketmqTest
2021-12-20 15:23:41:022 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 245) -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-20 15:23:41:044 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 174) -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@127a7a2e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@14008db3, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@78a773fd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@57c03d88, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16aa8654, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6d7fc27, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45ac5f9b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@135606db, org.springframework.test.context.event.EventPublishingTestExecutionListener@518caac3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68034211, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4f74980d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c372fe6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@58594a11, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2a3888c1, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4167d97b]
2021-12-20 15:23:41:480 [main] INFO  com.zookao.admin.RocketmqTest(StartupInfoLogger.java 55) -Starting RocketmqTest using Java 1.8.0_291 on DESKTOP-EBVMAA1 with PID 9932 (started by czc in D:\javaCode\quick_start\web\admin)
2021-12-20 15:23:41:481 [main] INFO  com.zookao.admin.RocketmqTest(SpringApplication.java 663) -The following profiles are active: dev
2021-12-20 15:23:41:510 [background-preinit] INFO  org.hibernate.validator.internal.util.Version(Version.java 21) -HV000001: Hibernate Validator 6.2.0.Final
2021-12-20 15:23:42:932 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 262) -Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-20 15:23:42:936 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 132) -Bootstrapping Spring Data Redis repositories in DEFAULT mode.
